DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;TOTAL_MIN_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];TOTAL_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MIN_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];GERMANY_IMPORT(-)_EXPORT(+)_[MW];AUSTRIA_MIN_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_AVERAGE_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_MARGINAL_CAPACITY_PRICE_[(EUR/MW)/h];AUSTRIA_IMPORT(-)_EXPORT(+)_[MW];GERMANY_SUM_OF_OFFERED_CAPACITY_[MW]
04/01/2022;04/01/2022;aFRR;NEG_16_20;0,00;1,17;2,10;0,00;1,15;1,60;80,00;0,58;1,55;2,10;-80,00;3758,00
04/01/2022;04/01/2022;aFRR;NEG_20_24;1,00;2,30;5,20;1,00;2,20;3,00;80,00;1,27;4,14;5,20;-80,00;3838,00
05/01/2022;05/01/2022;aFRR;POS_00_04;0,16;0,51;1,03;0,30;0,50;0,65;80,00;0,16;0,59;1,03;-80,00;4511,00
05/01/2022;05/01/2022;aFRR;POS_04_08;0,33;2,09;2,80;1,50;2,12;2,70;80,00;0,33;1,56;2,80;-80,00;4472,00
05/01/2022;05/01/2022;aFRR;POS_08_12;0,92;6,77;8,71;4,00;6,88;8,71;-4,00;0,92;5,64;8,65;4,00;5016,00
05/01/2022;05/01/2022;aFRR;POS_12_16;0,74;5,24;6,25;2,80;5,35;6,25;24,00;0,74;3,91;6,21;-24,00;4673,00
05/01/2022;05/01/2022;aFRR;POS_16_20;2,65;15,20;17,38;9,40;15,47;17,38;-13,00;2,65;12,59;17,37;13,00;4853,00
05/01/2022;05/01/2022;aFRR;POS_20_24;0,57;3,00;3,47;2,10;3,04;3,47;47,00;0,57;2,45;3,47;-47,00;4393,00
05/01/2022;05/01/2022;aFRR;NEG_00_04;6,77;26,34;31,00;6,77;26,56;31,00;40,00;8,71;23,68;30,99;-40,00;3918,00
05/01/2022;05/01/2022;aFRR;NEG_04_08;5,45;21,49;26,25;5,45;21,61;26,25;36,00;7,10;19,93;25,00;-36,00;3791,00
05/01/2022;05/01/2022;aFRR;NEG_08_12;0,88;2,76;3,98;0,88;2,75;3,90;80,00;0,94;2,96;3,98;-80,00;3377,00
05/01/2022;05/01/2022;aFRR;NEG_12_16;0,15;1,92;3,50;0,15;1,90;2,89;80,00;0,66;2,32;3,50;-80,00;3498,00
05/01/2022;05/01/2022;aFRR;NEG_16_20;0,15;1,03;1,64;0,15;1,02;1,30;80,00;0,37;1,21;1,64;-80,00;3565,00
05/01/2022;05/01/2022;aFRR;NEG_20_24;0,71;2,11;4,40;1,00;2,05;2,80;80,00;0,71;3,15;4,40;-80,00;3930,00
06/01/2022;06/01/2022;aFRR;POS_00_04;0,14;0,43;0,83;0,20;0,42;0,67;80,00;0,14;0,50;0,83;-80,00;4194,00
06/01/2022;06/01/2022;aFRR;POS_04_08;0,39;2,39;3,39;1,09;2,42;3,39;-47,00;0,39;2,17;3,38;47,00;4306,00
06/01/2022;06/01/2022;aFRR;POS_08_12;1,04;9,91;13,62;4,54;10,32;13,62;-80,00;1,04;6,80;9,71;80,00;4974,00
06/01/2022;06/01/2022;aFRR;POS_12_16;0,79;6,61;8,98;4,08;6,80;8,98;-80,00;0,79;5,21;7,82;80,00;5196,00
06/01/2022;06/01/2022;aFRR;POS_16_20;6,62;17,79;21,46;10,40;18,24;21,46;-80,00;6,62;14,50;18,80;80,00;4986,00
06/01/2022;06/01/2022;aFRR;POS_20_24;0,61;3,10;3,79;2,04;3,16;3,79;-37,00;0,61;2,66;3,79;37,00;4216,00
06/01/2022;06/01/2022;aFRR;NEG_00_04;8,71;22,01;26,46;16,78;22,12;26,46;56,00;8,71;20,43;26,00;-56,00;4107,00
06/01/2022;06/01/2022;aFRR;NEG_04_08;7,10;17,40;20,90;10,00;17,48;19,26;80,00;7,10;16,11;20,90;-80,00;4081,00
06/01/2022;06/01/2022;aFRR;NEG_08_12;0,94;1,91;2,86;1,00;1,89;2,46;80,00;0,94;2,23;2,86;-80,00;4156,00
06/01/2022;06/01/2022;aFRR;NEG_12_16;0,66;1,41;2,49;0,69;1,38;1,78;80,00;0,66;1,94;2,49;-80,00;3660,00
06/01/2022;06/01/2022;aFRR;NEG_16_20;0,26;0,71;1,08;0,26;0,70;0,92;80,00;0,37;0,86;1,08;-80,00;3949,00
06/01/2022;06/01/2022;aFRR;NEG_20_24;0,26;1,35;3,20;0,26;1,29;1,88;80,00;0,71;2,25;3,20;-80,00;3931,00
07/01/2022;07/01/2022;aFRR;POS_00_04;0,00;0,44;0,66;0,20;0,44;0,58;80,00;0,00;0,38;0,66;-80,00;4371,00
07/01/2022;07/01/2022;aFRR;POS_04_08;0,39;2,25;2,87;1,00;2,28;2,84;80,00;0,39;1,64;2,87;-80,00;4353,00
07/01/2022;07/01/2022;aFRR;POS_08_12;3,21;8,41;9,66;5,71;8,58;9,66;61,00;3,21;5,74;9,06;-61,00;5367,00
07/01/2022;07/01/2022;aFRR;POS_12_16;1,72;5,67;6,60;3,93;5,77;6,60;68,00;1,72;4,08;6,60;-68,00;5257,00
07/01/2022;07/01/2022;aFRR;POS_16_20;3,40;16,16;17,79;11,23;16,35;17,79;57,00;3,40;13,18;17,32;-57,00;5062,00
07/01/2022;07/01/2022;aFRR;POS_20_24;0,61;2,74;3,36;1,43;2,77;3,36;21,00;0,61;2,38;3,33;-21,00;4414,00
07/01/2022;07/01/2022;aFRR;NEG_00_04;6,96;20,31;25,62;14,00;20,45;25,62;44,00;6,96;18,59;24,90;-44,00;4087,00
07/01/2022;07/01/2022;aFRR;NEG_04_08;5,36;15,31;18,80;9,33;15,41;18,03;80,00;5,36;13,45;18,80;-80,00;3880,00
07/01/2022;07/01/2022;aFRR;NEG_08_12;0,59;1,73;2,30;0,99;1,73;2,11;80,00;0,59;1,75;2,30;-80,00;3572,00
07/01/2022;07/01/2022;aFRR;NEG_12_16;0,44;1,17;2,05;0,70;1,14;1,56;80,00;0,44;1,57;2,05;-80,00;3519,00
